id_str,name,screen_name,location,description,protected,followers_count,friends_count,listed_count,created_at,favourites_count,time_zone,verified,statuses_count,lang,contributors_enabled,profile_image_url
2365744172,웨이 🎼 𝓐𝓽𝓽𝓪𝓬𝓬𝓪 😇 쭁 ❤,love_SVT_3000,Not Available,"#세븐틴 #SEVENTEEN @pledis_17
•¹⁸⁰⁹²¹ #IdealCutinSG
•¹⁸⁰⁹²³ #IdealCutinKL
•¹⁹⁰²¹⁶ #TheSaemxSEVENTEEN
•¹⁹⁰⁸³⁰-¹⁹⁰⁹⁰¹ #OdeToYouinSeoul
•²⁰⁰⁸³⁰ #CARAT_LAND",False,167,574,6,Fri Feb 28 15:12:20 +0000 2014,84433,Not Available,False,30269,Not Available,False,http://pbs.twimg.com/profile_images/1444996910645874696/wWVP_2wL_normal.jpg
68092898,nq,qarienq,Not Available,she/her,True,123,270,0,Sun Aug 23 06:50:23 +0000 2009,5380,Not Available,False,24604,Not Available,False,http://pbs.twimg.com/profile_images/1296473799857037317/2GLjrxV9_normal.jpg
1511465099789148160,Mohd Haikal Md Haikal Boss,MohdHaikalMdHa1,Not Available,Just Do It.,False,0,95,0,Tue Apr 05 22:06:03 +0000 2022,0,Not Available,False,0,Not Available,False,http://pbs.twimg.com/profile_images/1511465216843735044/3E9z4qF0_normal.png
1406190423207419906,jeonghan my love,yesbeetea,ot13 caratland 🇲🇾,mostly seventeen plus kdramas,False,4,36,0,Sat Jun 19 10:01:46 +0000 2021,2170,Not Available,False,1775,Not Available,False,http://pbs.twimg.com/profile_images/1501927788521357317/z3GbqINx_normal.jpg
857291564,Shannn 🔗,shannn_1999,Malaysia,"One of igot7 || 99’s || she/her || full time multi, full time adult . #Ahgase💚II #Stay❣️II #MyDay🤍II #Monbebe💙|| #Wenee🐰|| #Deobi📢ll #Atiny🏴‍☠️|| #Carat💎",False,1456,2399,5,Tue Oct 02 01:12:53 +0000 2012,36888,Not Available,False,16552,Not Available,False,http://pbs.twimg.com/profile_images/1366453357913665536/aYsZsXJM_normal.jpg
283434140,Kimberly Wong,kimberlywml,KL ,23 | Keep me where the light is ✨,True,174,223,1,Sun Apr 17 08:42:02 +0000 2011,1110,Not Available,False,12320,Not Available,False,http://pbs.twimg.com/profile_images/902073222396493824/dDo9FZYG_normal.jpg
42598476,Cacti🌵💚,keatjin,Not Available,"W&🌱🐰. JH MW you are loved🌹

she/her",False,61,1915,1,Tue May 26 10:12:51 +0000 2009,119835,Not Available,False,4222,Not Available,False,http://pbs.twimg.com/profile_images/1501877813045248003/N8tARAUv_normal.jpg
1491755372901969924,AinaA,AinaA210901,Not Available,......,False,0,41,0,Thu Feb 10 12:46:24 +0000 2022,261,Not Available,False,3,Not Available,False,http://pbs.twimg.com/profile_images/1510259840601722887/RONuYHpp_normal.jpg
1399241370519277572,nini 🍎,dokyeomsayang,"24, she",a malaysian carat simping over #SEVENTEEN lee seokmin 🍕,True,452,387,1,Mon May 31 05:50:01 +0000 2021,892,Not Available,False,1388,Not Available,False,http://pbs.twimg.com/profile_images/1510609946559533057/cYSTuQEz_normal.jpg
1400699741311180804,MY GO SVT🇲🇾,mygosvt,🇲🇾GOM,#MYGOSVT Open to all fandoms🇰🇷🇨🇳🇯🇵 | Eng Malay 中文💬 | DM for personal request⭕️ Pls check masterlist for update✨https://t.co/tYjmrrchfZ. #mygosvt_feedback,False,4176,560,2,Fri Jun 04 06:23:48 +0000 2021,2159,Not Available,False,5795,Not Available,False,http://pbs.twimg.com/profile_images/1401569251907883009/MGQujKHz_normal.jpg
1150275904511209472,miniキ,aedkny,check pin 📌 ,"she/her //

if you know me, dont mind a s cause i can only fangirling here ◡̈",False,92,967,0,Sun Jul 14 05:28:41 +0000 2019,95165,Not Available,False,23716,Not Available,False,http://pbs.twimg.com/profile_images/1409784204678684677/LzbwqFhe_normal.jpg
1150822104654159873,oni 06.04 !! 🫶🏻,MING00IE,"she,her/eighteen",εїз,False,764,547,8,Mon Jul 15 17:39:05 +0000 2019,165051,Not Available,False,59164,Not Available,False,http://pbs.twimg.com/profile_images/1489188712000876545/59CNf-A3_normal.jpg
1489534160637394948,SYAUKI,SYAUKI63486640,Not Available,Not Available,False,0,43,0,Fri Feb 04 09:40:06 +0000 2022,1,Not Available,False,0,Not Available,False,http://pbs.twimg.com/profile_images/1489534221308035075/dcoRKEhk_normal.png
1511171841729376260,salmaredzuan,salmaredzuan227,Not Available,Not Available,True,0,11,0,Tue Apr 05 02:40:29 +0000 2022,3,Not Available,False,3,Not Available,False,http://pbs.twimg.com/profile_images/1511172051603984386/n_WlJtDL_normal.jpg
1343552341757239301,M. Rizwan Hafiz _37,37_rizwan,"Padang Serai, Kedah",smart bro,False,0,92,0,Mon Dec 28 13:48:06 +0000 2020,30,Not Available,False,5,Not Available,False,http://pbs.twimg.com/profile_images/1343556006056357888/gvZbYbpy_normal.jpg
1098694307307913216,Next Sunday,sunday_next,Not Available,Not Available,True,4,4325,0,Thu Feb 21 21:21:50 +0000 2019,7,Not Available,False,278,Not Available,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
1507704621250510851,Yan,yannnnn77,Not Available,Trying to do better,False,0,18,0,Sat Mar 26 13:03:02 +0000 2022,18,Not Available,False,0,Not Available,False,http://pbs.twimg.com/profile_images/1507704881716809733/seTRXcuY_normal.jpg
880641733461147649,Froze,Froze74988267,Malaysia,Ocean is blue,False,7,271,0,Fri Jun 30 04:18:45 +0000 2017,6522,Not Available,False,438,Not Available,False,http://pbs.twimg.com/profile_images/881161189207621632/IrTAilVU_normal.jpg
874514716189523968,fara,jwerr0r,caratland,Not Available,True,50,86,0,Tue Jun 13 06:32:10 +0000 2017,1096,Not Available,False,595,Not Available,False,http://pbs.twimg.com/profile_images/1503015558454800384/F_oDB2F5_normal.jpg
1510926882753368065,Jack,ahjack_01,Not Available,Hello~,True,0,9,0,Mon Apr 04 10:27:14 +0000 2022,0,Not Available,False,0,Not Available,False,http://pbs.twimg.com/profile_images/1510926966178054144/OSCgG8up_normal.jpg
